id;nome;id_estado_fk;;;
;Vila Odete;29;;;
;Jardim Paula;29;;;
;Ponte Rasa;29;;;
;Jardim Ponte Rasa;29;;;
;Jardim Popular;29;;;
;Vila Praia;29;;;
;Vila Prima;29;;;
;Jardim Recreio;29;;;
;Vila Ribeiro dos Santos;29;;;
;Vila Rio Branco;29;;;
;Vila Sampaio;29;;;
;Vila Santa Lúcia;29;;;
;Jardim Santo Onofre;29;;;
;Vila São Francisco;29;;;
;Jardim São Nicolau;29;;;
;Jardim Soraia;29;;;
;Jardim Três Marias;29;;;
;Vila União;29;;;
;SÃO LUCAS;29;;;
;Vila Alzira;29;;;
;Vila Amadeu;29;;;
;Vila Ana Clara;29;;;
;Jardim Ana Rosa;29;;;
;Vila Anadir;29;;;
;Vila Angelina;29;;;
;Vila Arlindo;29;;;
;Conjunto Habitacional Camilópolis;29;;;
;Vila Carmem;29;;;
;Vila Central;29;;;
;Vila Charlot;29;;;
;Vila Cleonice;29;;;
;Cidade Continental;29;;;
;Vila Cunha Bueno;29;;;
;Vila Darli;29;;;
;Jardim Dias;29;;;
;Vila Divina Pastora;29;;;
;Vila Else;29;;;
;Vila Ema;29;;;
;Jardim da Figueira;29;;;
;Vila Florinda;29;;;
;Jardim Guairacá;29;;;
;Jardim Guiomar;29;;;
;Vila Heloisa;29;;;
;Vila I.V.G.;29;;;
;Vila Iguaçu;29;;;
;Jardim Independência;29;;;
;Vila Industrial;29;;;
;Vila Ivone;29;;;
;Vila Jose Moreira;29;;;
;Vila Lavinia;29;;;
;Vila Macedópolis;29;;;
;Vila Margarida;29;;;
;Vila Mendes;29;;;
;Vila Mercedes;29;;;
;Vila Merly;29;;;
;Jardim Miami;29;;;
;Vila Mirtes;29;;;
;Vila Moca;29;;;
;Vila Moderna;29;;;
;Vila Nair;29;;;
;Vila Norma;29;;;
;Vila Nova Paulicéia;29;;;
;Vila Nova Utinga;29;;;
;Pq Resesidencial Oratório;29;;;
;Jardim Panorama;29;;;
;Vila Paulo Silas;29;;;
;Parque Andre Pereira;29;;;
;Sitio Pinheirinho;29;;;
;Vila Raquel;29;;;
;Jardim Redenção;29;;;
;Vila Rosa;29;;;
;Jardim Rosicler;29;;;
;Vila Santa Virginia;29;;;
;Vila Santo Antonio;29;;;
;Vila São Domingos;29;;;
;Parque Sao Lucas;29;;;
;Vila São Nicolau;29;;;
;Jardim Silveira;29;;;
;Jardim Sofia;29;;;
;Jardim Tereza;29;;;
;Jardim Théalia;29;;;
;Parque Tomas Saraiva;29;;;
;SAPOPEMBA;29;;;
;Jardim Adutora;29;;;
;Vila Alzira;29;;;
;Jardim Amaro;29;;;
;Jardim Ana Rosa;29;;;
;Jardim Ângela;29;;;
;Vila Bancaria;29;;;
;Parque Bancário;29;;;
;Vila Barreira Grande;29;;;
;Vila Brasil;29;;;
;Vila Cardoso Franco;29;;;
;Jardim Clara Regina;29;;;
;Vila Cleonice;29;;;
;Jardim Colorado;29;;;
;Jardim Dona Sinha;29;;;
;Jardim Elba;29;;;
;Vila Embira;29;;;
;Vila Ester;29;;;
;Vila Fátima;29;;;
;Jardim Grimaldi;29;;;
;Jardim Guiomar;29;;;
;Vila Gustavo;29;;;
;Vila Heloisa;29;;;
;Jardim Iguaçu;29;;;
;Jardim Iva;29;;;
;Jardim Ivone;29;;;
;Vila Julio;29;;;
;Conjunto Habitacional Juta;29;;;
;Lar Nacional;29;;;
;Jardim Lourenço;29;;;
;Parque Luiz Mucciolo;29;;;
;Vila Luso Brasileira;29;;;
;Jardim Luzitano;29;;;
;Conjunto Habitacional Mal Mascarenhas De Moraes;29;;;
;Jardim Mimar;29;;;
;Vila Moderna;29;;;
;Vila Nova;29;;;
;Cj Res Oratório 2;29;;;
;Vila Orlando;29;;;
;Jardim Paraguaçu;29;;;
;Jardim Planalto;29;;;
;Jardim Porteira Grande;29;;;
;Vila Portuguesa;29;;;
;Vila Primavera;29;;;
;Jardim Colorado;29;;;
;Vila Renato;29;;;
;Parque Santa Madalena;29;;;
;Jardim São Lourenço;29;;;
;Jardim São Roberto;29;;;
;Sapopemba;29;;;
;Conjunto Promorar Sapopemba;29;;;
;Jardim Sapopemba;29;;;
;Vila Sirene;29;;;
;Jardim Soares;29;;;
;Conjunto Residencial Teotônio Vilela;29;;;
;Vila Tolstói;29;;;
;Vila União;29;;;
;Jardim Valquíria;29;;;
