null;BRASILÂNDIA;31
null;Jardim Almanara;31
null;Jardim Alvorada;31
null;Jardim Ana Maria;31
null;Vila Áurea;31
null;Parque Belém;31
null;Jardim Brasília;31
null;Jardim Carumbé;31
null;Jardim dos Cunha;31
null;Jardim Damasceno;31
null;Vila Dulcina;31
null;Vila Elias Nigri;31
null;Jardim Elisa Maria;31
null;Jardim Elísio;31
null;Conjunto Promorar Estrada da Parada;31
null;Johab Sítio dos Francos;31
null;Jardim dos Francos;31
null;Jardim Guarani;31
null;Jardim dos Guedes;31
null;Parque Hollywood;31
null;Vila Icaraí;31
null;Jardim Irene;31
null;Jardim Ismênia;31
null;Vila Itaberaba;31
null;Jardim Ladeira Rosa;31
null;Jardim Magali;31
null;Jardim Maracanã;31
null;Jardim Maristela;31
null;Vila Nina;31
null;Pardim Ondina;31
null;Jardim Paulistano;31
null;Parque Pedroso;31
null;Vila Penteado;31
null;Jardim Princesa;31
null;Vila Real;31
null;Jardim Recanto;31
null;Vila Rica;31
null;Vila São Joao Batista;31
null;Vila São Joaquim;31
null;Vila Serralheiro;31
null;Vila Souza;31
null;Vila Terezinha;31
null;Parque Tiete;31
null;Jardim do Tiro;31
null;Vila Vista Alegre;31
null;Vila Zulmira Maria;31
null;CACHOEIRINHA;31
null;Vila Amália;31
null;Vila dos Andrades;31
null;Vila Angélica;31
null;Cj Hab Jardim Antártica;31
null;Vila Bela Vista;31
null;Vila Cachoeirinha;31
null;Campo da Água Branca;31
null;Sitio Casa Verde;31
null;Jardim Ceci;31
null;Jardim Centenário;31
null;Vila Continental;31
null;Vila Dionísia;31
null;Jardim Imirim;31
null;Jardim Nossa Senhora da Consolata;31
null;Cohab Vila Nova Cachoeirinha;31
null;Vila Nova Cachoeirinha;31
null;Vila Paulo Raveli;31
null;Jardim Peri Alto;31
null;Jardim Peri Novo;31
null;Jardim Peri;31
null;Vila Pita;31
null;Vila Roque;31
null;Jardim Santa Cruz;31
null;CASA VERDE;31
null;Vila Bandeirantes;31
null;Vila Baruel;31
null;Casa Verde Alta;31
null;Casa Verde Baixa;31
null;Casa Verde Media;31
null;Vila Célia;31
null;Vila Gouveia;31
null;Jardim Ibéria;31
null;Jardim das Laranjeiras;31
null;Parque Leo;31
null;Sítio do Mandaqui;31
null;Vila Minosi;31
null;Parque Peruche;31
null;Vila Rossin;31
null;Jardim São Bento;31
null;Jardim São Domingos;31
null;Jardim São Miguel;31
null;Parque Souza Aranha;31
null;Vila Vanda;31
